playerId,season,팀명,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,BB,HBP,SO,SLG,OBP,PA,TB,CS,SAC,SF,ERA,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,ER
55412,2025,삼성,0.316,12,,10,18,,,0,,,7,0,4,,,,,,,,6.23,,,1,0,0,1,1,,,13,9
67005,2025,삼성,0.125,31,32,8,4,2,0,0,0,0,,,,,,38,6,0,2,0,,,,,,,,,,,,
50441,2025,삼성,,15,,,27,2,0,1,,,,,,,,,,,,,6.97,0,0,0,1,0,0,0,104,403,20 2/3,
53375,2025,삼성,,29,,,175,17,3,17,,,,,,,,,,,,,2.7,3,2,14,8,0,0,0.636,763,2828,190 1/3,
53006,2025,KT,,2,,,7,2,0,1,,,,,,,,,,,,,24.55,0,0,0,1,0,0,0,26,104,3 2/3,
69064,2025,KT,0.033,25,30,0,1,0,0,0,1,0,,,,,,36,1,0,0,1,,,,,,,,,,,,
68050,2025,KT,,1,,,3,1,0,1,,,,,,,,,,,,,18,0,0,0,0,0,0,-,7,25,1,
50066,2025,KT,0.19,38,63,5,12,1,0,1,8,0,,,,,,77,16,0,3,1,,,,,,,,,,,,
64001,2025,KT,,28,,,166,30,2,9,,,,,,,,,,,,,3.16,1,1,11,7,0,0,0.611,675,2491,159 2/3,
51003,2025,KT,0.228,120,268,33,61,12,3,1,25,3,,,,,,306,82,1,6,1,,,,,,,,,,,,
52003,2025,KT,0.32,18,,19,48,,,5,,,16,3,20,,,,,,,,4.58,,,2,1,0,0,0.667,,,37 1/3,19
51005,2025,KT,0,2,1,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,,,,,,,,,,,,
55040,2025,KT,,3,,,7,0,0,2,,,,,,,,,,,,,13.5,0,0,0,0,0,0,-,19,66,3 1/3,
54097,2025,KT,-,2,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,
65048,2025,KT,,57,,,62,11,2,5,,,,,,,,,,,,,5.05,0,0,4,3,0,11,0.571,226,806,51 2/3,
64004,2025,KT,0.291,103,368,51,107,12,2,0,34,11,,,,,,403,123,3,4,1,,,,,,,,,,,,
